id_departamento,nombre,domicilio,mail,fecha_fundacion
6588,Bib.Pop. Anastasio Prieto,Mitre 342,,1980-01-01
6588,Bib.Pop. José Ingenieros,Mendoza 991,,1933-10-12
6007,Bib.Pop. Adolfo Alsina,San Martín 1101,,1912-08-23
6007,Bib.Pop. José Ingenieros,Los Colonizadores 235 0,ccibiblio@hotmail.com,1925-01-01
6014,Bib.Pub. Bernardino Rivadavia,Sarmiento 175,bipobrchaves@yahoo.com.ar,1925-05-10
6014,Bib.Pop. Dr. Victor H. Barrera,Castro Barros 348 0,barrerabp@hotmail.com,1942-11-30
6021,Bib.Pop. Andrés Vaccarezza,Arias 154,eleana_1983@hotmail.com,1925-01-01
6028,Amigos de la Biblioteca Esteban Adrogué,La Rosa 974 0,,1918-08-01
6028,Bib. Pop. La Margarita blanca,Gral.Paz 765,,1999-08-28
6028,Bib.Pop. Mahatma Gandhi,Lobato 843,bpmgandhi@tutopia.com,1980-01-01
6028,Bib.Pop. Pablo Rojas Paz,A.del Valle y Mansilla 0,bibliorojaspaz@gmail.com,1969-03-22
6028,Bib.Pop. Manuel Belgrano del Barrio de Villa París,Scalabrini Ortíz 2560,bib_manuelbelgrano_glew@yahoo.com.ar,1998-05-16
6028,Bib.Pop. Fray Luis Beltrán,Fausto 233,neanvi@yahoo.com.ar,2007-11-16
6028,Bib.Pop.Soc.Fom. Martín Fierro,Chaco 1415 0,bibmfierro@yahoo.com.ar,1956-03-11
6028,Bib. Pop. Atahualpa Yupanqui,Rivadavia 1516,atahualpa1999@gmail.com,1999-12-10
6427,Bib.Pop. Gabriela Mistral,El Zorzal 2463,,1980-01-01
6035,Bib.Pop. Bartolomé Mitre,Rdo.Gutierrez 1374,bibpopularmitre@yahoo.com.ar,1932-03-01
6035,Bib.Pop. José Mármol,Paraguay 1002,bjmarmol@yahoo.com.ar,1940-06-28
6035,Bib.Pop. Dr. Estanislao S. Zeballos,Beruti 216,spebpop@gmail.com,2001-09-15
6035,Bib.Pop. Alfredo Palacios,Av.Rivadavia 770,bipopalacios@yahoo.com.ar,1996-05-07
6035,Bib.Pub.Mun.Pop. de Avellaneda,Av.Mitre 366,bpmavellaneda@hotmail.com,1919-12-22
6035,Bib.Pop. Maestro Alfredo Bravo,Dardo Rocha 179,bibliotecabravo@yahoo.com.ar,1980-01-01
6035,Bib.Pop. Dock Sud,Nicolás Avellaneda 1345,bibliotecapopulardocksud@gmail.com,1998-04-24
6035,Bib.Pop. Juan Bautista Alberdi,Limay 1234,punkyflores69@hotmail.com,1918-10-10
6035,Bib.Pop. Enrique del Valle Iberlucea,De la Serna 710,,2002-06-02
6035,Bib.Pop. Veladas de estudio después del trabajo,Entre Ríos 731 0,,1921-10-28
6035,Bib.Pop. Presidente Avellaneda,Villegas 15,bibliotecapopularpteavellaneda@yahoo.com.ar,1987-07-24
6035,Soc. Fom. y Cul. y Bib.Pop. Domingo Faustino Sarmiento,Supisiche 680,bsfsarmiento1925@yahoo.com.ar,1980-01-01
6035,Soc.Fom. U. de Dom. y Bib.Pop. Nicolás Avellaneda,San Vicente 660,bnicolasavellaneda@yahoo.com.ar,1985-09-13
6035,Bib.Pop. Juan M. de Pueyrredón,Martín Fierro 250,,1922-05-14
6035,Bib. Pop. Oscar Smith,Hilario Ascasubi 511,bibliotecapopularoscarsmith@yahoo.com,2008-07-09
6042,Bib.Pub.Mun. Manuel Vilardaga,25 de Mayo 941,,
6049,Bib.Pop. Bartolomé J. Ronco,Burgos 687 0,info@bibliotecaronco.com.ar,
6049,Bib.Pop. Almafuerte,25 de Mayo 1664,,1918-05-26
6049,Bib.Pop. Asoc.Cult. de Chillar,Mario T. Cortázar 1037,bibliochillar@yahoo.com.ar,1939-01-06
6056,Bib.Pop. Bernardino Rivadavia,Av. Colón 31,abrbp@abrbp.org.ar,
6056,Bib.Pop. Bartolomé Mitre,Washington 232,bibliotecabmitre@yahoo.com.ar,1922-04-10
6056,Bib.Pop. Roberto Payro,19 de Mayo 769,,1960-09-27
6056,Bib.Pop. Pajarita de papel,Saavedra 951,,1980-01-01
6056,Bib.Pop. Eduardo Mallea,Avda. Gral. Arias 2250,bibliotecamallea@yahoo.com.ar,1980-01-01
6056,Bib.Pop. Don Germán García,Quillén 146,bpggbb@yahoo.com.ar,1996-11-20
6056,Bib.Pop. Rosario Sur,Cornelio Saavedra 2395,biblioteca_rosariosur@yahoo.com.ar,2000-09-16
6056,Bib. Pop. Gabriela Mistral,Francia 2120,bibpopgabmistral@yahoo.com.ar,1996-04-13
6056,Bib.Pop. Simón Rodriguez,Vieytes 2745,simonrodriguezbiblioteca@gmail.com,1980-01-01
6056,Bib. Pop. Villa Duprat,Arcada 628,biblioduprat@gmail.com,1980-01-01
6056,BIb. Pop. Martín Allica,Humboldt 3758,bibliotecamartinallica@yahoo.com.ar,2006-04-24
6056,Bib.Pop. Mariano Moreno,Azcuenaga 184,,1963-06-01
6056,Asoc. José Hernández,Matheu 232,,1966-11-10
6056,Bib.Pop. Mariano Moreno,Mascarello 3860,bibliomarianomorenoiw@gmail.com,1925-08-24
6056,Bib.Pop. Ing. Domingo Pronsato,Salinas Chicas 4179,bibliotecapronsato@yahoo.com.ar,1989-12-29
6063,Bib.Pub. Pablo A. Pizzurno,15 707,bibliotecapizzurno@yahoo.com.ar,1923-12-01
6070,Bib.Pop.Mun. Fray Luis de Bolaños,Rodriguez y Thames,,
6070,Bib.Pop. José Manuel Estrada,San Martín 857,,1919-10-05
6070,Bib.Pop. Mario Bravo,Araoz 1363,,1980-01-01
6077,Bib.Pop.Mun. Teniente Gral. Bme. Mitre,Av.C. Merlassino e Int. R.Lorenzo 0,bibmitre@yahoo.com.ar,1939-04-22
6084,Bib.Pop. Juan J. Bernal Torres,Av.Libertad 101,bipopbernaltorres@gmail.com,1946-12-26
6091,Bib.Pop. Manuel Belgrano,L. de La Torre 1736 0,bpmbelgrano@hotmail.com,1924-08-04
6091,Bib.Pop. Padre Carlos Mugica,Lisandro de La Torre 5700,bibliotecapadremugica@hotmail.com,1986-11-04
6091,Bib.Pop. Juan María Gutierrez,Calle 455 1545,bibliotecapopularjmgutierrez@hotmail.com,2002-09-21
6091,Bib.Pop. José Ingenieros,Calle 157 4380,bibliotecadeplatanos@yahoo.com.ar,1984-05-12
6091,Bib.Pop. y Cent. Victoria Ocampo,Calle 364 433,ranelaghbibliocampo@yahoo.com.ar,1980-01-01
6098,Bib.Pop. Pestalozzi,Calle 8 4078,bibliopopularpestalozzi@gmail.com,1935-07-09
6098,Bib. Pop. Mariano Moreno,13 4437,,1944-06-11
6098,Bib.Pop. Ricardo Güiraldes,Calle 14 (H.Yrigóyen e/153 y 154 0,bibliotecaguiraldes@yahoo.com.ar,1949-02-02
6098,Bib.Pop. Almafuerte,8 3465,,1943-06-06
6098,Bib.Pop. Mariano Moreno,Montevideo,,1980-01-01
6098,Bib.Pop. Presbítero Pascual Ruberto,Calle (Norte) e/29 y 30 162,pascualruberto@hotmail.com,1995-06-10
6098,Bib.Pop. Belisario Roldán,15 4211,,1947-06-20
6105,Bib.Pop. Bernardino Rivadavia,Las Heras 80 0,bib_rivadavia@yahoo.com.ar,1911-12-15
6105,Bib.Pop. D.F.Sarmiento,Av.San Martín 1065 0,cultural_07@yahoo.com.ar,1926-05-26
6105,Bib.Pop. María Alcira Cabrera,Falucho 780,,1972-07-08
6105,Bib.Pop. D.F.Sarmiento,Carlos Pellegrini 345 0,bpurdampilleta@yahoo.com.ar,1933-07-21
6112,Bib.Pop. Manuel Belgrano,Pellegrini 1364,bbelgrano@yahoo.com.ar,1943-12-03
6112,Bib.Pop. Florencio López,Esteban Rodriguez y Aberro 0,,1997-07-31
6112,Bib.Pop. Bernardino Rivadavia,Av.Gral.O`Brien y Chacabuco s/n,,1926-05-01
6021,Bib.Pop. José Ingenieros,Av.Quintana 2009,bpjimechita@live.com.ar,1940-06-01
6112,Bib.Pop. José Ignacio Warnes,"Santa Fe s/n, ex Estación Ferrocarril 0",bpjiwarnes@yahoo.com.ar,1980-01-01
6119,Bib.Pop. José de San Martín,Av.Mitre 251,,1932-05-25
6119,Bib.Pop. Dr. Frutos Enrique Ortiz,Larrea 3077,gallardosandra@hotmail.com,1980-01-01
6119,Bib.Pop. Jeppener,Aldo Sequenza esq. Delaplace,,2002-03-22
6126,Bib. Pop. Pilar A. de Traverso,Coltelli 1624,bibliotecatraverso@yahoo.com.ar,1992-09-08
6134,Bib.Pop. D.F.Sarmiento,Lara 904 0,bibliotecapopulardfsarmiento@hotmail.com,1927-07-01
6134,Bib.Pop. Barrio San Esteban,Aromo 63,sanestebanbibliotecapopular@yahoo.com.ar <SANESTEBANBIBLIOTECAPOPULAR@YAHOO.COM.AR>,1980-01-01
6140,Bib.Pop. Almafuerte,Av.Pte.Perón 467,bpalmafuerte@hotmail.com,1923-05-21
6147,Bib.Pop. José Ingenieros,Maya 503,biblioingenieros@gmail.com,1963-09-07
6147,Bib.Pop. El Libro Alegre,Avda. Pte Juan D. Perón 100,biblioellibroalegre@hotmail.com.ar,2009-02-28
6147,Bib.Pop.Esc. Dr. Enrique Smith,Fornero y Smith,,1984-12-01
6154,Bib.Pop. Roque Saénz Peña,Alberto H.Almirón 148,bibliotejedor@yahoo.com.ar,1916-10-28
6154,Bib.Pop. Bernardino Rivadavia,25 de Mayo 420,sanjose@servicoopsa.com.ar,1920-09-26
6161,Bib.Pop. Juan Bautista Alberdi,Rivadavia 586,bibliocada@yahoo.com.ar,1914-09-08
6168,Bib.Pop. Juan José Castelli,Falucho 155,biblicast@yahoo.com.ar,1940-04-24
6210,Bib.Pop. D.F.Sarmiento,San Martín 38,,1907-01-01
6210,Bib.Pop. Guillermo Rawson,25 de Mayo s/n,,1920-01-01
6217,Bib.Pop. D.F.Sarmiento,Alvear 9,bpsarmiento113@yahoo.com.ar,
6217,Bib.Pop.Soc.Fom. Nuestra Señora de Luján,H.Yrigóyen 578 0,biblovillalujan@hotmail.com,1982-09-25
6217,Bib.Pub. San José Obrero,Florencio Chappa 625,biblioteka_jso@yahoo.com,1986-02-13
6217,Bib.Pop. Ambulante y Rural de Chascomus,Neuquén E Hipólito Yrigóyen 0,labiblioamb@hotmail.com,1994-10-07
6217,Bib.Pop. del Ipora Padre Luis Sánchez,Inmigrantes Arabes 569,bibliotecaipora2000@yahoo.com.ar,1997-02-22
6224,Bib.Pop. Dr. Antonio Novaro,Moreno 30,bibliotecanovaro@hotmail.com,
6182,Bib.Pop. Esc. Ing. Luis Luiggi,Mitre 886,,1994-09-23
6182,Bib.Pop. Puntaltense Mercedes de San Martín,9 de julio 1051,bibliomercedesdesanmartin@gmail.com,2002-07-19
6189,Bib.Pop. Coronel Dorrego,Av.Ricardo Fuertes 674,,1928-05-24
6189,Bib.Pop. de José A. Guisasola,Av.Raúl Loydi s/n 0,biblioelperdido@gmail.com,1982-03-01
6189,Bib.Pop. Florentino Ameghino,Sarmiento 568,biblioameghino@altisa.com.ar,1928-12-05
6196,Bib.Pop. Pringles,San Martín 675,,1932-07-10
6203,Bib.Pop. D.F.Sarmiento,Sarmiento 349,bibliotecasarmiento_2000@yahoo.com.ar,1915-01-31
6203,Bib.  Infantil de Coronel Suarez,Las Heras 843,glabuscfliawach@gmail.com,1991-01-31
6203,Asoc.Bib.Pop.Púb.Esc. Dr. Baldomero Fernández Moreno,Avda. Sarmiento 851,bibliotecapopularhuanguelen@gmail.com,1969-09-27
6175,Bib.Pop. Mariano Moreno,Calle 46 Nº  1027 0,,1920-04-24
6182,Bib.Pop. Juan Bautista Alberdi,Rivadavia 353,bibjbalberdi@gmail.com,1933-02-19
6182,Bib.Pop. Dr. Ricardo Gutierrez,Passo 702,nancy_flo@hotmail.com,1980-01-01
6238,Bib.Pop. Gral. San Martín,Bartolomé Mitre 60,,1945-10-27
6245,Bib.Pop. Mariano Moreno,Calle 48 Bis esq.126,,1917-07-22
6245,Bib.Pop. Gral. José de San Martín,San Martín 715,,1932-06-18
6245,Bib.Pop.Pub. Bartolomé Mitre,Alberdi esq.La Merced,,1924-11-18
6245,Bib.Pub.Pop.Mun. B. Fernández Moreno,Horacio Cestino 379,,1957-04-02
6245,Bib.Pop. Osvaldo H. Merlo,Calle 19 esq.5 0,anamzanoni@yahoo.com.ar,1980-01-01
6252,Bib.Pop. Bernardino Rivadavia,H.Yrigoyen 514,bp20dediciembre@gmail.com,1932-09-25
6252,Bib.Pop. Juan Bautista Alberdi,Presidente Perón 225,alberdibiblio@yahoo.com.ar,1929-07-09
6260,Bib.Pop. Florentino Ameghino,Ameghino 1640,bibliotecaameghino@gmail.com,1964-05-24
6260,Bib.Pop. Bernardino Rivadavia,Rojas 167,,1932-09-01
