Unnamed: 4,Unnamed: 8,Unnamed: 9,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Código de departamento,Nombre,Domicilio,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
02104,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,SUÁREZ  684 BOCA ,,,,1
02104,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,OLAVARRIA 677 BOCA ,1,1,1,
02104,CARLOS R. VIGNALE,WENCESLAO VILLAFAÑE 453 BOCA ,,,1,
02113,INSTITUTO SAN CAYETANO,VIDAL 1743 BELGRANO ,1,1,,
02113,INSTITUTO SAN CAYETANO,MOLDES 1764 BELGRANO ,,,1,
02113,INSTITUTO NUESTRA SEÑORA DEL ROSARIO,CIUDAD DE LA PAZ 1839 BELGRANO ,1,1,1,1
02109,INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS,AVDA. EMILIO CASTRO 7142 MATADEROS ,1,1,1,1
02109,DR MARTINIANO LEGUIZAMON,MARTINIANO LEGUIZAMON 1470 MATADEROS ,,,1,
02104,BENITO QUINQUELA MARTIN,AVDA. DON PEDRO DE MENDOZA 1835 BOCA 4303-7814,,,1,
02104,JOSE JACINTO BERRUTTI,BENITO QUINQUELA MARTIN 1081 BOCA ,,,1,
02104,REPUBLICA ITALIANA,RIO CUARTO 1249 BOCA ,,,1,
02104,JUAN MARIA GUTIERREZ,ROCHA 1226 BOCA ,,,1,
02113,ESCUELA DE LA ALDEA,NUÑEZ 2776 NUÑEZ ,1,1,1,
02111,FRAY JUSTO SANTA MARIA DE ORO,AVDA. ALVAREZ JONTE 1964 VILLA GRAL. MITRE ,,,1,
02109,REPUBLICA DE FILIPINAS,COSQUIN 1943 MATADEROS ,,,1,
02109,JUAN RAMON JIMENEZ,MURGUIONDO 1347 MATADEROS ,,,1,
02110,RECUERDOS DE PROVINCIA,AVDA. JUAN BAUTISTA ALBERDI 4755 VILLA LURO ,,,1,
02110,CARLOS GUIDO Y SPANO,CNEL. RAMON L. FALCON 4801 VILLA LURO ,,,1,
02113,CENTRO DE ESTUDIOS INTERDISCPLINARIOS PARA EL APRENDIZAJE Y LA COMUNICACION,CAP. GRAL. RAMON FREIRE 1658 BELGRANO ,,,,
02113,JARDIN INFANTES A.B.C.,SUPERI 2132 BELGRANO ,,1,,
02113,INSTITUTO BET-EL,CONDE 1860 BELGRANO ,1,1,1,
02104,INSTITUTO SAN PEDRO,BENITO QUINQUELA MARTIN 1151 BOCA ,,1,1,
02102,COLEGIO LAS CUMBRES,GUIDO 1880 RECOLETA ,1,1,1,1
02101,INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE,PARAGUAY 1252 RETIRO ,,1,1,
02102,INST. COLEGIO SAN TARSICIO,JUNCAL 2623 RECOLETA ,1,1,1,
02104,JIN B HOMERO MANZI DE 19 (N°11),MOM 2380 NUEVA POMPEYA ,1,1,,
02104,MARIA SILVENTI DE AMATO,ALAGON 300 NUEVA POMPEYA ,,,1,
02104,PROFESOR CARLOS JUSTO FLORIT,TILCARA 2856 NUEVA POMPEYA ,,,1,
02107,RICARDO GUIRALDES,AVDA. RIESTRA 1850 FLORES ,,,1,
02104,PROVINCIA DE CORRIENTES,AVDA. CASEROS 4050 NUEVA POMPEYA ,,,1,
02104,AERONAUTICA ARGENTINA,QUILMES 473 NUEVA POMPEYA ,,,1,
02104,JUAN ANDRES DE LA PEÑA,ANIBAL PEDRO ARBELETCHE 1052 NUEVA POMPEYA ,,,1,
02107,JII Nº 01 DE 19,LAS CARACOLAS 2152 FLORES BARRIO RIVADAVIA,,1,,
02115,REPUBLICA DE HONDURAS,AVDA. ELCANO 4861 PATERNAL ,,,1,
02114,INSTITUTO BAYARD,CASTEX 3348 PALERMO ,1,1,1,
02115,CABILDO DE BUENOS AIRES,AVDA. FEDERICO LACROZE 3839 CHACARITA ,,,1,
02104,INSTITUTO PARROQUIAL SANTA LUCIA,ISABEL LA CATOLICA 221 BARRACAS 235,,1,1,
02104,DR. PEDRO MELITON LEDESMA,TRAFUL 3835 NUEVA POMPEYA ,,,1,
02115,INGENIERO ALVAREZ CONDARCO,GIRARDOT 1946 VILLA ORTUZAR ,,,1,
02104,PRESIDENTE DERQUI,CALIFORNIA 1925 BARRACAS ,,,1,
02111,INSTITUTO SAN JUAN MARIA VIANNEY,AVDA. SAN MARTIN 4460 VILLA DEL PARQUE ,1,1,1,
02101,INSTITUTO INTEGRAL DEL SUD,DEFENSA 1318 SAN TELMO ,1,1,,
02103,FRANCISCO DE GURRUCHAGA,AVDA. JUJUY 1471 SAN CRISTOBAL ,,,1,
02103,COLEGIO SECUNDARIO STO TOMAS DE AQUINO,TTE. GRAL. JUAN DOMINGO PERON 1862 BALVANERA ,,,,1
02113,COLEGIO SECUNDARIO SANTO TOMAS DE AQUINO,CAP. GRAL. RAMON FREIRE 145 COLEGIALES ,,,1,1
02101,GENERAL GUEMES,CARLOS CALVO 1140 CONSTITUCION ,,,1,
