Provincia,Departamento,Cant_EE,Cant_Biblioteca_Popular,Población
Córdoba,Capital,964,20,1498060
Santa Fe,Rosario,830,39,1337958
Buenos Aires,La Matanza,800,16,1837168
Buenos Aires,La Plata,548,33,756074
Santa Fe,La Capital,469,23,568259
Entre Ríos,Paraná,441,11,388716
Buenos Aires,General Pueyrredón,404,6,660569
Buenos Aires,Lomas de Zamora,403,12,685644
Río Negro,General Roca,359,29,379627
Chaco,San Fernando,358,31,413764
Neuquén,Confluencia,354,40,467217
Tucumán,Capital,348,10,587289
Buenos Aires,Quilmes,326,9,631774
Misiones,Capital,313,7,391498
Formosa,Patiño,308,2,81600
Salta,Capital,291,27,624003
Buenos Aires,Almirante Brown,275,11,583209
Buenos Aires,Moreno,273,16,575758
Corrientes,Capital,273,15,437446
Santiago del Estero,Capital,265,26,328824
Misiones,Guaraní,264,2,77075
Buenos Aires,Lanús,260,13,460081
Misiones,Oberá,260,3,120703
Santa Fe,General Obligado,258,14,197533
Formosa,Formosa,255,8,268572
Santa Fe,Castellanos,251,21,189464
Jujuy,Dr. Manuel Belgrano,239,7,319469
Santa Fe,General López,236,21,200455
Formosa,Pirané,232,3,72560
Buenos Aires,Bahía Blanca,229,15,334505
Córdoba,Río Cuarto,227,16,277979
Córdoba,San Justo,226,20,228951
Buenos Aires,Tigre,226,13,446291
Buenos Aires,Merlo,224,4,581484
Chaco,General Güemes,220,1,68429
Buenos Aires,Morón,213,2,329517
Santiago del Estero,Banda,210,13,170401
Buenos Aires,General San Martín,208,14,444503
Mendoza,San Rafael,208,14,213204
Buenos Aires,Avellaneda,207,15,366117
Buenos Aires,Pilar,207,6,393614
Misiones,Cainguás,205,3,59875
Santa Fe,Las Colonias,201,18,114730
Buenos Aires,San Miguel,196,4,327650
Córdoba,Colón,193,11,294511
Buenos Aires,Tres de Febrero,193,9,362319
Buenos Aires,Florencio Varela,192,10,488103
Buenos Aires,Berazategui,192,6,358328
Buenos Aires,San Isidro,190,7,295978
Entre Ríos,Concordia,188,5,197603
