id_establecimiento,id_departamento,jardin_infantes,primario,secundario
5,02104,,,1
7,02104,,1,
8,02113,1,,
10,02113,1,1,1
11,02109,1,1,1
12,02109,,1,
13,02104,,1,
14,02104,,1,
15,02104,,1,
16,02104,,1,
18,02113,1,1,
19,02111,,1,
23,02109,,1,
24,02109,,1,
25,02110,,1,
26,02110,,1,
27,02113,,,
28,02113,1,,
29,02113,1,1,
30,02104,1,1,
31,02102,1,1,1
32,02101,1,1,
33,02102,1,1,
35,02104,1,,
36,02104,,1,
37,02104,,1,
38,02107,,1,
39,02104,,1,
40,02104,,1,
41,02104,,1,
42,02107,1,,
44,02115,,1,
45,02114,1,1,
46,02115,,1,
47,02104,1,1,
48,02104,,1,
49,02115,,1,
51,02104,,1,
52,02111,1,1,
53,02101,1,,
54,02103,,1,
56,02103,,,1
57,02113,,1,1
61,02101,,1,
62,02101,1,1,
64,02101,,1,
65,02101,,1,
67,02101,,1,
68,02110,1,,
69,02110,1,,
70,02110,1,,
71,02104,1,,
72,02104,,1,
73,02105,,,1
74,02109,,,1
76,02102,1,1,
77,02112,1,1,1
78,02110,1,,
79,02110,,1,
80,02110,,1,
81,02104,,1,
82,02108,,1,
83,02112,1,1,1
84,02114,1,1,1
86,02110,1,,
87,02115,1,,
89,02112,1,1,
90,02114,1,1,1
91,02108,,,1
93,02108,,1,
94,02104,1,1,
100,02109,,1,
101,02109,,1,
102,02109,,1,
103,02109,,1,
104,02106,1,1,
105,02110,1,1,1
106,02112,1,1,1
107,02107,1,,
108,02101,1,1,1
111,02101,,1,
112,02101,,1,
113,02114,,1,1
116,02114,,1,
117,02113,1,1,1
118,02114,1,1,1
119,02114,,1,
120,02113,,,1
121,02115,,1,
122,02104,,1,
123,02112,,1,
124,02112,1,1,1
125,02107,,1,
126,02111,,1,
127,02107,,1,
128,02111,1,1,1
129,02111,,,1
130,02111,1,,
131,02111,,,1
132,02101,1,1,
134,02104,1,1,1
135,02115,,,1
136,02108,,1,
137,02104,,1,
138,02107,1,,
139,02107,1,,
141,02105,1,,
142,02106,1,,
143,02115,,,1
144,02115,,1,
145,02111,,1,
147,02111,,,1
148,02107,,1,
149,02111,,1,
150,02111,,1,
151,02111,1,1,
152,02107,,1,
153,02107,1,,
154,02103,1,1,1
155,02105,,,
156,02110,1,,
157,02110,1,,
158,02110,1,,
159,02110,1,1,1
161,02111,,1,
162,02109,,1,
163,02109,,1,
164,02109,,1,
165,02109,1,,
166,02109,1,,
167,02109,1,,
168,02114,1,,
169,02114,,1,
170,02102,1,1,1
171,02107,,,1
172,02110,,1,
173,02107,1,1,
174,02110,,1,
177,02111,1,1,1
178,02111,1,1,1
180,02114,,,1
182,02115,,1,
183,02115,1,1,1
184,02112,1,1,
185,02112,,1,
186,02112,,1,
187,02115,1,,
190,02114,1,,
191,02113,,1,
192,02105,,1,
193,02111,,1,
194,02111,,1,
195,02113,1,1,1
196,02113,1,1,1
197,02111,,1,
198,02107,1,,
199,02107,1,,
200,02107,1,,
201,02115,,1,
203,02115,1,1,1
204,02115,1,1,
205,02115,1,1,
206,02112,,1,
207,02112,1,1,1
208,02101,,,
209,02101,,,
210,02115,1,1,
211,02115,,,1
212,02105,,1,
213,02112,,1,
215,02114,1,,
216,02113,1,,
217,02110,,,
219,02102,1,1,1
220,02101,1,,
221,02101,1,,
222,02101,,1,
223,02101,,1,
224,02107,1,1,1
225,02108,1,1,
226,02108,1,,
227,02105,,,
236,02113,1,1,1
238,02108,,1,
243,02103,,,
244,02108,1,,
245,02108,1,,
246,02108,1,1,1
247,02108,1,,
248,02108,1,,
249,02108,,1,
250,02113,,1,
251,02106,,,
253,02108,,,1
254,02108,,,1
255,02103,1,1,1
256,02103,,1,
257,02103,1,,
258,02103,1,,
259,02103,1,,
260,02102,1,1,1
261,02103,1,,
262,02103,1,,
263,02102,1,1,1
264,02104,,1,
265,02104,,1,
266,02104,,1,
267,02112,,,1
270,02107,,1,
271,02107,1,1,
272,02110,,1,
273,02105,,1,
274,02105,1,1,1
275,02101,1,,
276,02101,1,,
278,02101,,1,
280,02113,,,1
281,02113,,1,
286,02112,,1,
287,02112,,1,
289,02109,,1,
290,02105,,1,
291,02109,,1,
292,02109,1,,
294,02101,,1,
295,02104,1,1,
296,02114,1,1,
297,02114,1,,
298,02114,1,,
299,02114,1,,
301,02112,,1,
302,02110,1,,
303,02107,1,,
304,02107,1,,
305,02107,1,,
309,02112,,1,
310,02112,,,1
311,02111,,1,
312,02115,,1,
313,02115,1,,
314,02102,1,1,1
315,02102,1,1,
316,02102,,,
317,02113,,1,
318,02102,,,
319,02108,,1,
320,02112,,1,
321,02115,,,1
323,02106,,,
325,02106,1,1,
326,02115,,1,
328,02115,,,
333,02106,1,,
334,02107,,1,
335,02108,1,,
336,02107,1,,
337,02112,,,1
340,02105,,1,
341,02112,1,1,1
349,02107,1,,
351,02111,,1,
352,02107,,1,
353,02113,,,1
354,02105,1,1,1
355,02107,1,1,1
356,02105,,1,
358,02103,1,1,1
362,02103,,1,
363,02104,1,1,1
364,02103,1,1,
365,02110,,1,
366,02113,,,1
367,02113,1,1,1
369,02110,,1,
370,02104,,1,
371,02107,,1,
372,02105,1,1,1
373,02113,,1,
374,02104,1,1,1
376,02101,,,
377,02103,1,1,
378,02108,1,,
379,02112,1,,
380,02111,1,1,1
382,02108,,1,
384,02114,1,1,
385,02103,,1,
386,02103,1,,
387,02111,1,1,
388,02104,,1,
389,02104,1,,
390,02107,1,,
391,02105,1,1,
392,02111,,1,
393,02115,,,
396,02104,1,1,
397,02101,1,1,
398,02101,1,1,
399,02103,,,
401,02113,,,1
402,02113,,1,
403,02110,,1,
404,02112,,1,
405,02106,1,1,
407,02113,1,,
408,02113,1,,
409,02113,1,,
411,02101,,,1
412,02104,,1,
413,02104,,1,
414,02104,,1,
415,02104,,1,
416,02104,,1,
417,02104,1,,
418,02115,,,1
419,02114,1,1,1
421,02102,,1,
422,02114,,,1
423,02104,,1,
424,02104,,1,
425,02111,1,1,1
426,02107,,,1
427,02113,,1,
428,02115,,1,
429,02103,,1,
430,02103,1,,
431,02115,1,1,1
432,02115,,,1
433,02111,,1,
434,02113,1,1,1
435,02112,,1,
437,02104,,,1
438,02113,,,1
439,02113,1,1,1
440,02104,1,1,1
441,02101,,1,
443,02103,,,1
444,02104,1,1,1
445,02101,,,1
446,02113,1,1,
448,02109,1,1,1
449,02109,,1,
452,02109,,1,
453,02115,,1,
454,02115,,1,
455,02115,,1,
456,02104,,1,
457,02104,1,1,1
458,02104,,1,
459,02103,,1,
460,02101,1,1,
461,02113,,,
462,02113,,1,1
463,02101,,1,
464,02113,,1,
465,02113,,,
466,02113,1,1,
467,02112,,1,
468,02113,1,1,1
469,02113,1,1,1
470,02101,1,1,1
471,02108,,,
474,02105,,,
475,02104,,1,
476,02104,1,1,1
477,02104,1,,
478,02101,,,1
479,02115,,1,
480,02115,1,1,
481,02115,,1,
487,02110,1,,
488,02110,1,,
489,02110,1,,
490,02109,1,,
491,02109,1,,
492,02103,,,1
493,02109,,1,
494,02110,,1,
495,02113,,1,
496,02113,1,,
497,02112,1,1,1
498,02101,1,1,1
499,02101,1,1,1
500,02103,,,1
501,02101,,,
502,02101,1,1,1
503,02104,,1,
504,02107,,1,
505,02101,,,1
506,02108,,1,
508,02102,1,1,1
509,02115,1,1,
510,02103,,1,
511,02103,1,1,1
512,02103,1,,
513,02103,1,,
514,02115,,1,
515,02115,,1,
516,02101,,,1
517,02101,,1,1
518,02104,,,
519,02113,1,1,
520,02113,1,1,1
522,02104,,1,
523,02113,,1,
524,02115,,1,
525,02112,,1,1
527,02104,1,,
528,02104,,1,
529,02115,,1,
530,02112,,1,
531,02104,1,1,1
532,02104,,1,
533,02102,,,1
534,02103,,,
535,02103,1,1,1
536,02104,1,,
537,02101,,1,
538,02107,,,1
539,02107,,,1
540,02107,1,1,1
541,02112,1,1,
542,02115,,1,
543,02107,1,1,
544,02101,1,,
545,02104,1,,
546,02104,1,,
547,02111,,1,
548,02112,,1,
549,02104,1,1,1
550,02104,1,,
551,02113,,,1
552,02104,,,1
553,02113,1,1,1
555,02101,,,1
556,02101,,1,
557,02101,1,,
558,02101,,1,
559,02101,1,1,
560,02101,1,1,1
561,02103,,1,
562,02108,,,1
563,02108,,1,
564,02108,1,,
565,02108,1,1,1
566,02102,1,1,
567,02103,,,1
568,02103,,1,
569,02102,,1,
570,02114,,1,
571,02114,1,,
572,02102,,1,
573,02108,,,1
574,02101,,1,1
576,02103,,,1
577,02115,1,1,1
578,02104,,1,
580,02105,,1,
581,02105,1,1,1
582,02103,,1,
583,02105,,1,
584,02105,,1,
585,02110,,1,
587,02110,1,1,1
588,02108,1,,
589,02108,,1,
590,02108,1,1,1
591,02108,,1,
592,02102,1,1,
593,02108,,,1
595,02102,1,1,1
596,02112,1,1,1
597,02102,1,1,1
598,02104,1,1,1
599,02110,1,1,1
600,02110,,1,
601,02110,,,1
602,02110,,1,
603,02110,1,1,1
604,02110,1,1,1
605,02105,1,1,1
606,02115,1,1,1
607,02115,,1,
608,02115,,1,
609,02103,1,1,1
610,02103,1,1,1
611,02103,,,
612,02110,,1,
613,02110,1,,
614,02110,1,,
615,02110,1,,
616,02102,1,1,1
619,02102,1,1,1
620,02102,1,1,1
621,02108,,1,
622,02104,1,,
623,02108,1,,
624,02101,,,
625,02108,,1,
626,02112,1,,
627,02112,1,,
628,02112,1,,
629,02112,1,,
630,02112,,1,
631,02114,1,1,1
632,02114,1,,
633,02114,,1,
634,02108,,1,
635,02102,1,,
636,02102,1,,
637,02102,1,,
638,02114,,1,
639,02102,,,
640,02114,1,1,1
641,02114,1,1,1
642,02114,1,1,1
643,02103,,,
644,02102,1,1,1
646,02110,1,1,1
647,02112,,,1
648,02112,,1,
649,02115,,1,
650,02115,,,1
653,02114,1,1,1
654,02114,,1,
655,02114,,1,
657,02114,1,1,1
658,02115,,1,
659,02108,,1,
660,02109,1,,
661,02109,1,,
662,02109,1,,
663,02109,1,,
664,02109,1,,
665,02109,1,1,1
666,02114,,,1
668,02114,1,1,1
669,02103,1,1,
670,02114,,1,
671,02102,,,1
672,02110,,1,
673,02110,,,1
674,02102,1,1,1
675,02101,1,1,1
676,02101,1,1,1
678,02110,,1,
680,02106,1,1,1
681,02106,,,1
682,02106,,,1
683,02112,1,,
684,02115,,1,
685,02109,,1,
686,02110,,1,
687,02109,,1,
688,02109,,1,
689,02106,,1,
690,02105,1,1,
691,02106,,,1
693,02101,1,1,1
694,02101,1,1,
697,02104,,1,
698,02110,,1,
699,02110,,1,
700,02110,1,1,1
701,02110,,1,
702,02110,,,1
703,02109,,1,
704,02110,1,1,1
705,02112,1,1,1
706,02112,,1,
707,02112,1,1,1
708,02107,,1,
710,02101,1,1,
711,02101,1,,
712,02101,,1,
714,02101,,1,
715,02101,,,
716,02110,1,,
717,02113,,1,
718,02114,1,,
719,02113,1,,
720,02114,1,,
721,02114,1,,
722,02113,,1,
723,02114,,,1
724,02114,,1,
725,02114,1,,
726,02114,,1,
727,02114,,1,
728,02114,,1,
729,02103,1,,
730,02103,,1,
731,02107,,1,
732,02112,1,1,1
733,02112,1,1,1
734,02112,,1,
735,02112,,,1
736,02112,,1,
737,02106,1,1,1
738,02107,,1,
739,02107,,1,
740,02107,,1,
741,02107,1,1,
742,02107,1,1,1
743,02107,1,1,1
744,02114,,,1
745,02104,,,1
746,02103,,,1
747,02103,,,1
