Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Buenos Aires,La Matanza,272,87162,299,225872,235,181212
Buenos Aires,La Plata,180,29260,173,77998,139,67326
Buenos Aires,Lomas de Zamora,130,28806,151,76967,103,65257
Buenos Aires,General Pueyrredón,138,23100,139,62565,102,57730
Buenos Aires,Quilmes,124,26975,121,70881,75,60085
Buenos Aires,Moreno,89,28521,110,76357,81,60359
Buenos Aires,Almirante Brown,95,25188,109,67913,65,58227
Buenos Aires,Merlo,67,27105,100,71541,54,59718
Buenos Aires,Lanús,89,16028,94,44506,64,39855
Buenos Aires,Bahía Blanca,78,12522,83,33944,48,28746
Buenos Aires,General San Martín,76,15897,81,44539,43,39634
Buenos Aires,Pilar,80,18864,80,49944,51,41528
Buenos Aires,Berazategui,70,14843,79,41462,41,35467
Buenos Aires,Florencio Varela,59,24703,78,64455,56,52426
Buenos Aires,Tigre,83,18454,77,51961,64,45401
Buenos Aires,Morón,74,10346,77,28780,44,26584
Buenos Aires,San Miguel,68,13979,74,37035,52,30653
Buenos Aires,Avellaneda,87,13168,68,37082,38,32476
Buenos Aires,Tres de Febrero,79,12280,64,33616,42,30170
Buenos Aires,Olavarría,39,4840,64,13055,27,11526
Buenos Aires,San Isidro,67,9488,63,26323,48,25052
Buenos Aires,Malvinas Argentinas,54,14565,61,40319,31,34959
Buenos Aires,Esteban Echeverría,56,15490,59,41112,45,34241
Buenos Aires,Vicente López,64,8348,55,22610,44,21312
Buenos Aires,Tandil,28,5517,53,14723,29,12884
Buenos Aires,Escobar,47,12294,53,31983,37,25714
Buenos Aires,José C. Paz,39,16399,50,42316,25,34014
Buenos Aires,Pergamino,26,4820,47,12264,27,10389
Buenos Aires,San Nicolás,37,6938,44,17845,35,15225
Buenos Aires,San Fernando,41,6594,43,17900,25,15461
Buenos Aires,Necochea,27,3905,43,10545,22,9347
Buenos Aires,Azul,20,3086,42,8219,13,7066
Buenos Aires,Mercedes,23,3084,41,7882,11,6753
Buenos Aires,Trenque Lauquen,21,2171,39,5326,8,4442
Buenos Aires,25 de Mayo,16,1498,39,3733,10,3238
Buenos Aires,Ituzaingó,40,6232,38,17692,23,16004
Buenos Aires,Chivilcoy,15,2733,38,7181,14,6479
Buenos Aires,Hurlingham,31,6675,36,18866,33,16751
Buenos Aires,Campana,33,4628,36,12587,23,10846
Buenos Aires,Ezeiza,23,9825,35,25615,25,21089
Buenos Aires,Luján,37,4701,35,12341,25,10388
Buenos Aires,Tres Arroyos,19,2432,35,6392,11,5392
Buenos Aires,Chascomús,12,1873,34,4976,9,4223
Buenos Aires,Zárate,31,5546,34,15431,12,13300
Buenos Aires,Lincoln,16,1843,34,4674,10,4080
Buenos Aires,Junín,23,4127,34,10433,26,8728
Buenos Aires,Las Flores,9,1101,33,2771,4,2543
Buenos Aires,San Pedro,18,3165,32,8283,11,7113
Buenos Aires,Balcarce,13,1973,31,5070,13,4268
Buenos Aires,Chacabuco,13,1940,30,5344,9,4811
Buenos Aires,Bolívar,13,1590,30,3857,9,3206
Buenos Aires,Ayacucho,11,985,29,2442,4,2150
Buenos Aires,Cañuelas,9,3575,29,9538,18,7497
Buenos Aires,Lobería,7,699,28,1865,6,1638
Buenos Aires,Pehuajó,19,1886,28,4827,11,4284
Buenos Aires,Villarino,14,1415,27,3677,5,3288
Buenos Aires,Coronel Suárez,19,1573,26,4418,13,3537
Buenos Aires,9 de Julio,18,2262,26,5830,15,4999
Buenos Aires,Saladillo,13,1476,25,3785,8,3339
Buenos Aires,Lobos,10,1853,25,4668,5,4035
Buenos Aires,Navarro,9,828,23,2341,5,2082
Buenos Aires,General Rodríguez,18,7808,23,20970,15,15698
Buenos Aires,General Villegas,18,1510,23,4006,12,3428
Buenos Aires,General Alvear,2,429,22,1137,0,912
Buenos Aires,San Vicente,19,5505,22,14032,13,10952
Buenos Aires,Patagones,12,1630,21,4262,9,3335
Buenos Aires,Magdalena,13,1042,21,2768,7,2260
Buenos Aires,Coronel de Marina Leonardo Rosales,18,2684,20,7353,11,6424
Buenos Aires,Mar Chiquita,9,1423,19,3622,3,3044
Buenos Aires,Berisso,19,4327,19,11779,10,9722
Buenos Aires,Baradero,14,1697,19,4372,14,3818
Buenos Aires,Tapalqué,4,486,19,1125,3,1059
Buenos Aires,La Costa,16,4245,19,11364,13,10072
Buenos Aires,San Andrés de Giles,11,1236,19,3031,9,2583
Buenos Aires,Adolfo Alsina,12,732,18,1697,5,1437
Buenos Aires,Rauch,4,669,18,1761,4,1519
