Provincia,Departamento,Cantidad de BP fundadas desde 1950
Buenos Aires,La Plata,15
Buenos Aires,La Matanza,15
Buenos Aires,Moreno,13
Buenos Aires,Bahía Blanca,12
Buenos Aires,Tigre,12
Buenos Aires,Almirante Brown,10
Buenos Aires,General San Martín,10
Buenos Aires,Lomas de Zamora,10
Buenos Aires,Tandil,10
Buenos Aires,Avellaneda,9
Buenos Aires,Florencio Varela,9
Buenos Aires,Olavarría,8
Buenos Aires,Quilmes,8
Buenos Aires,Lanús,7
Buenos Aires,Tres Arroyos,6
Buenos Aires,La Costa,6
Buenos Aires,Malvinas Argentinas,5
Buenos Aires,Pilar,5
Buenos Aires,Berazategui,5
Buenos Aires,San Isidro,5
Buenos Aires,Vicente López,5
Buenos Aires,Guaminí,5
Buenos Aires,San Fernando,5
Buenos Aires,General Pueyrredón,5
Buenos Aires,Merlo,4
Buenos Aires,Ramallo,4
Buenos Aires,General Villegas,4
Buenos Aires,Tornquist,3
Buenos Aires,Necochea,3
Buenos Aires,San Miguel,3
Buenos Aires,General Pinto,3
Buenos Aires,Coronel de Marina Leonardo Rosales,3
Buenos Aires,Villarino,3
Buenos Aires,Lincoln,3
Buenos Aires,Carlos Casares,3
Buenos Aires,Coronel Suárez,2
Buenos Aires,Hurlingham,2
Buenos Aires,Bragado,2
Buenos Aires,Esteban Echeverría,2
Buenos Aires,Leandro N. Alem,2
Buenos Aires,Puan,2
Buenos Aires,General Alvarado,2
Buenos Aires,Brandsen,2
Buenos Aires,Villa Gesell,2
Buenos Aires,Ezeiza,2
Buenos Aires,Pinamar,2
Buenos Aires,Luján,2
Buenos Aires,Monte,2
Buenos Aires,San Antonio de Areco,2
Buenos Aires,Ensenada,2
Buenos Aires,Tres de Febrero,2
Buenos Aires,Berisso,2
Buenos Aires,Pehuajó,2
Buenos Aires,Morón,2
Buenos Aires,San Cayetano,1
Buenos Aires,Bolívar,1
Buenos Aires,Coronel Dorrego,1
Buenos Aires,Magdalena,1
Buenos Aires,Mar Chiquita,1
Buenos Aires,Ituzaingó,1
Buenos Aires,9 de Julio,1
Buenos Aires,Tapalqué,1
Buenos Aires,Campana,1
Buenos Aires,Salto,1
Buenos Aires,General Lavalle,1
Buenos Aires,Saladillo,1
Buenos Aires,Lobería,1
Buenos Aires,General Guido,1
Buenos Aires,Maipú,1
Buenos Aires,Cañuelas,1
Buenos Aires,Tordillo,1
Buenos Aires,Monte Hermoso,1
Buenos Aires,Rivadavia,1
Buenos Aires,General Arenales,1
Buenos Aires,Rauch,1
Buenos Aires,Lobos,1
Buenos Aires,Navarro,1
