Provincia,Departamento,Cant_EE,Cant_BP,Población
Ciudad de Buenos Aires,Ciudad de Buenos Aires,1719,43,535189
Córdoba,Capital,1144,20,340097
Buenos Aires,La Matanza,996,16,494246
Santa Fe,Rosario,830,39,301974
Buenos Aires,La Plata,687,33,174584
Buenos Aires,Lomas de Zamora,557,12,171030
Buenos Aires,General Pueyrredón,540,6,143395
Santa Fe,La Capital,471,23,135587
Buenos Aires,Quilmes,460,9,157941
Chaco,San Fernando,450,31,100345
Entre Ríos,Paraná,444,11,91018
Buenos Aires,Almirante Brown,426,11,151328
Tucumán,Capital,406,10,135401
Río Negro,General Roca,392,29,95294
Buenos Aires,Moreno,377,16,165237
Neuquén,Confluencia,362,40,114440
Buenos Aires,Lanús,360,13,100389
Córdoba,San Justo,358,20,55480
Buenos Aires,Merlo,355,4,158364
Chaco,General Güemes,344,1,20976
Córdoba,Río Cuarto,336,16,64957
Buenos Aires,Tigre,336,13,115816
Misiones,Capital,317,7,103795
Buenos Aires,Pilar,317,6,110336
Formosa,Patiño,311,2,24959
Salta,Capital,300,27,158460
Buenos Aires,General San Martín,300,14,100070
Buenos Aires,Avellaneda,297,15,82726
Buenos Aires,Florencio Varela,296,10,141584
Buenos Aires,Bahía Blanca,291,15,75212
Buenos Aires,Berazategui,290,6,91772
Buenos Aires,Morón,286,2,65710
Santiago del Estero,Capital,280,26,82748
Buenos Aires,San Isidro,276,7,60863
Buenos Aires,Tres de Febrero,274,9,76066
Corrientes,Capital,273,15,108247
Buenos Aires,San Miguel,273,4,81667
Córdoba,Colón,265,11,78048
Misiones,Guaraní,265,2,24918
Misiones,Oberá,262,3,35013
Jujuy,Dr. Manuel Belgrano,261,7,79450
Santa Fe,General Obligado,259,14,50899
Formosa,Formosa,256,8,69098
Mendoza,San Rafael,253,14,54484
Santa Fe,Castellanos,251,21,46372
Buenos Aires,Vicente López,251,6,52270
Santa Fe,General López,236,21,46470
Formosa,Pirané,232,3,21254
Buenos Aires,Escobar,232,2,69991
Buenos Aires,Malvinas Argentinas,227,5,89843
Santiago del Estero,Banda,216,13,47774
Buenos Aires,Esteban Echeverría,210,3,90843
Mendoza,Guaymallén,206,5,81225
Misiones,Cainguás,206,3,18910
Córdoba,Punilla,202,12,51590
Santa Fe,Las Colonias,201,18,26590
Córdoba,Unión,195,7,27129
Entre Ríos,Concordia,189,5,54618
La Rioja,Capital,186,6,52454
Santa Fe,San Cristóbal,184,11,18539
Chubut,Escalante,184,7,54868
Buenos Aires,Olavarría,183,11,29421
Entre Ríos,Gualeguaychú,182,8,30750
Mendoza,Capital,182,3,25514
Córdoba,General San Martín,178,8,37367
San Luis,Juan Martín de Pueyrredón,177,10,66688
Buenos Aires,Tandil,176,14,33124
San Juan,Capital,175,16,24131
Formosa,Pilcomayo,175,8,26286
Misiones,General Manuel Belgrano,175,2,15004
Buenos Aires,José C. Paz,174,0,92729
Misiones,San Ignacio,171,2,18859
Buenos Aires,San Fernando,168,7,39955
Tucumán,Cruz Alta,168,4,64915
Buenos Aires,San Nicolás,168,2,40008
Río Negro,Bariloche,167,9,37600
Córdoba,Marcos Juárez,165,11,24003
Corrientes,Goya,164,3,28708
Chaco,Libertador General San Martín,163,6,18943
Chubut,Rawson,162,14,34944
Córdoba,Santa María,162,8,36720
Misiones,Iguazú,161,3,30988
Córdoba,Río Segundo,160,7,27230
Córdoba,Tercero Arriba,159,6,28398
Entre Ríos,Uruguay,159,6,28399
Salta,General José de San Martín,156,5,56814
Buenos Aires,Pergamino,156,4,27473
Chaco,Comandante Fernández,153,2,27652
Buenos Aires,Ezeiza,151,2,56529
Misiones,Leandro N. Alem,150,1,13451
Misiones,San Pedro,150,1,12154
Mendoza,Godoy Cruz,148,3,44098
Buenos Aires,Luján,147,5,27430
Buenos Aires,Hurlingham,146,2,42292
Santa Fe,Vera,145,8,14854
Mendoza,Maipú,145,3,58185
Córdoba,Cruz del Eje,145,1,17072
Mendoza,Las Heras,143,6,63980
Entre Ríos,La Paz,142,3,20183
Buenos Aires,Ituzaingó,141,1,39928
Córdoba,Río Primero,138,3,15180
Santa Fe,San Lorenzo,134,7,49606
Entre Ríos,Villaguay,134,3,14285
Misiones,25 de Mayo,134,2,9292
Buenos Aires,Necochea,133,5,23797
Buenos Aires,Zárate,133,1,34277
Catamarca,Capital,132,4,45731
Misiones,Eldorado,132,1,26459
Buenos Aires,Junín,131,8,23288
La Pampa,Capital,131,8,28525
Catamarca,Belén,131,5,8297
Córdoba,Calamuchita,130,6,18907
Buenos Aires,Campana,130,1,28061
Mendoza,San Martín,129,4,37039
Buenos Aires,Azul,128,3,18371
Entre Ríos,Nogoyá,126,4,10566
Misiones,Libertador General San Martín,125,2,15321
Santa Fe,San Jerónimo,124,8,20468
Formosa,Bermejo,124,0,5222
Santiago del Estero,Río Hondo,123,4,18863
Salta,Rivadavia,123,1,14007
Buenos Aires,Mercedes,120,1,17719
Entre Ríos,Federación,118,4,20541
Tucumán,Leales,117,3,17697
Santa Cruz,Güer Aike,116,8,36268
Salta,Orán,116,4,49738
San Luis,General Pedernera,114,10,39086
Córdoba,San Javier,114,5,15494
Formosa,Ramón Lista,111,0,7150
Buenos Aires,Chivilcoy,110,1,16393
Santa Cruz,Deseado,108,7,35737
Mendoza,Luján de Cuyo,108,6,46143
Buenos Aires,Trenque Lauquen,108,2,11939
Santa Fe,Iriondo,107,12,17095
Santiago del Estero,Pellegrini,107,0,7989
Buenos Aires,General Rodríguez,106,1,44476
San Juan,Rawson,105,8,37568
Tucumán,Tafí Viejo,105,4,48068
Buenos Aires,San Pedro,105,2,18561
Córdoba,San Alberto,105,2,10527
Buenos Aires,25 de Mayo,104,0,8469
Santiago del Estero,Copo,103,2,11457
Córdoba,Juárez Celman,102,3,16917
Tucumán,Burruyacú,102,0,13307
Jujuy,El Carmen,101,4,34765
Buenos Aires,Cañuelas,101,2,20610
Chaco,Almirante Brown,101,0,11877
Santa Fe,San Martín,99,12,15849
Buenos Aires,Tres Arroyos,99,10,14216
Entre Ríos,Diamante,99,3,11775
Catamarca,La Paz,99,2,7251
Jujuy,San Pedro,98,6,23496
Santa Fe,9 de Julio,97,3,8385
Corrientes,Esquina,97,1,11182
Santiago del Estero,Moreno,97,0,13254
Río Negro,Adolfo Alsina,96,5,15768
Santiago del Estero,Figueroa,96,0,6457
Buenos Aires,Lincoln,95,7,10597
Buenos Aires,9 de Julio,95,2,13091
Buenos Aires,Chacabuco,94,2,12095
Buenos Aires,Coronel Suárez,93,3,9528
Santa Fe,Caseros,92,10,18587
Chaco,Mayor Luis J. Fontana,92,3,16633
Santa Fe,Constitución,90,17,21550
Entre Ríos,Victoria,90,0,9632
Mendoza,Lavalle,89,3,14260
Buenos Aires,San Vicente,89,2,30489
Buenos Aires,Balcarce,89,1,11311
Buenos Aires,Pehuajó,88,4,10997
Catamarca,Tinogasta,88,1,6602
Tucumán,Chicligasta,88,1,23899
Entre Ríos,Colón,87,6,18271
Chaco,Quitilipi,87,3,9036
Corrientes,Santo Tomé,87,2,20888
Buenos Aires,Bolívar,86,4,8653
Catamarca,Santa María,86,2,6855
Buenos Aires,Chascomús,86,0,11072
Chubut,Biedma,85,7,27025
Salta,Anta,85,5,20657
Entre Ríos,Gualeguay,85,2,14204
Santiago del Estero,Choya,85,2,11867
Mendoza,General Alvear,84,4,13366
Santiago del Estero,Avellaneda,84,3,8239
San Juan,Rivadavia,83,8,26015
Buenos Aires,General Villegas,83,5,8944
Santiago del Estero,Loreto,83,1,6767
Santa Fe,San Justo,82,6,11458
Buenos Aires,Lobos,82,4,10556
Corrientes,Curuzú Cuatiá,82,2,14001
Buenos Aires,Saladillo,82,1,8600
Formosa,Pilagás,82,0,5651
Buenos Aires,Berisso,81,7,25828
