id_departamento,nombre,poblacion jardin,poblacion primario,poblacion secundario,provincia
02007,Comuna 1,6851,17398,14659,Ciudad de Buenos Aires
02014,Comuna 2,3521,8758,9155,Ciudad de Buenos Aires
02021,Comuna 3,5197,13857,12322,Ciudad de Buenos Aires
02028,Comuna 4,8119,22520,18869,Ciudad de Buenos Aires
02035,Comuna 5,4779,13029,11616,Ciudad de Buenos Aires
02042,Comuna 6,5158,13889,12281,Ciudad de Buenos Aires
02049,Comuna 7,6129,17292,15351,Ciudad de Buenos Aires
02056,Comuna 8,8442,23918,20127,Ciudad de Buenos Aires
02063,Comuna 9,5015,14531,13545,Ciudad de Buenos Aires
02070,Comuna 10,4745,13286,12254,Ciudad de Buenos Aires
02077,Comuna 11,5321,14922,13918,Ciudad de Buenos Aires
02084,Comuna 12,6676,17210,14615,Ciudad de Buenos Aires
02091,Comuna 13,6553,17774,16311,Ciudad de Buenos Aires
02098,Comuna 14,5701,14539,13329,Ciudad de Buenos Aires
02105,Comuna 15,5328,14068,12311,Ciudad de Buenos Aires
06007,Adolfo Alsina,732,1697,1437,Buenos Aires
06014,Adolfo Gonzales Chaves,523,1401,1170,Buenos Aires
06021,Alberti,495,1378,1198,Buenos Aires
06028,Almirante Brown,25188,67913,58227,Buenos Aires
06035,Avellaneda,13168,37082,32476,Buenos Aires
06042,Ayacucho,985,2442,2150,Buenos Aires
06049,Azul,3086,8219,7066,Buenos Aires
06056,Bahía Blanca,12522,33944,28746,Buenos Aires
06063,Balcarce,1973,5070,4268,Buenos Aires
06070,Baradero,1697,4372,3818,Buenos Aires
06077,Arrecifes,1435,3542,2961,Buenos Aires
06084,Benito Juárez,916,2277,2015,Buenos Aires
06091,Berazategui,14843,41462,35467,Buenos Aires
06098,Berisso,4327,11779,9722,Buenos Aires
06105,Bolívar,1590,3857,3206,Buenos Aires
06112,Bragado,1884,4807,4203,Buenos Aires
06119,Brandsen,1475,3997,3510,Buenos Aires
06126,Campana,4628,12587,10846,Buenos Aires
06134,Cañuelas,3575,9538,7497,Buenos Aires
06140,Capitán Sarmiento,625,1713,1441,Buenos Aires
06147,Carlos Casares,979,2491,2110,Buenos Aires
06154,Carlos Tejedor,628,1557,1266,Buenos Aires
06161,Carmen de Areco,785,1927,1709,Buenos Aires
06168,Castelli,416,1013,904,Buenos Aires
06175,Colón,1112,2851,2561,Buenos Aires
06182,Coronel de Marina Leonardo Rosales,2684,7353,6424,Buenos Aires
06189,Coronel Dorrego,632,1609,1418,Buenos Aires
06196,Coronel Pringles,1075,2791,2166,Buenos Aires
06203,Coronel Suárez,1573,4418,3537,Buenos Aires
06210,Chacabuco,1940,5344,4811,Buenos Aires
06218,Chascomús,1873,4976,4223,Buenos Aires
06224,Chivilcoy,2733,7181,6479,Buenos Aires
06231,Daireaux,790,1986,1828,Buenos Aires
06238,Dolores,1398,3369,2998,Buenos Aires
06245,Ensenada,2860,7776,6660,Buenos Aires
06252,Escobar,12294,31983,25714,Buenos Aires
06260,Esteban Echeverría,15490,41112,34241,Buenos Aires
06266,Exaltación de la Cruz,1929,4920,3860,Buenos Aires
06270,Ezeiza,9825,25615,21089,Buenos Aires
06274,Florencio Varela,24703,64455,52426,Buenos Aires
06277,Florentino Ameghino,470,1275,1107,Buenos Aires
06280,General Alvarado,1945,4822,4254,Buenos Aires
06287,General Alvear,429,1137,912,Buenos Aires
06294,General Arenales,655,1535,1404,Buenos Aires
06301,General Belgrano,899,2272,1893,Buenos Aires
06308,General Guido,137,338,304,Buenos Aires
06315,General Juan Madariaga,909,2637,2375,Buenos Aires
06322,General La Madrid,474,1263,980,Buenos Aires
06329,General Las Heras,836,2054,1823,Buenos Aires
06336,General Lavalle,250,636,493,Buenos Aires
06343,General Paz,639,1705,1390,Buenos Aires
06351,General Pinto,585,1321,1175,Buenos Aires
06357,General Pueyrredón,23100,62565,57730,Buenos Aires
06364,General Rodríguez,7808,20970,15698,Buenos Aires
06371,General San Martín,15897,44539,39634,Buenos Aires
06385,General Viamonte,1002,2538,2039,Buenos Aires
06392,General Villegas,1510,4006,3428,Buenos Aires
06399,Guaminí,460,1189,1063,Buenos Aires
06406,Hipólito Yrigoyen,435,1110,965,Buenos Aires
06408,Hurlingham,6675,18866,16751,Buenos Aires
06410,Ituzaingó,6232,17692,16004,Buenos Aires
06412,José C. Paz,16399,42316,34014,Buenos Aires
06413,Junín,4127,10433,8728,Buenos Aires
06420,La Costa,4245,11364,10072,Buenos Aires
06427,La Matanza,87162,225872,181212,Buenos Aires
06434,Lanús,16028,44506,39855,Buenos Aires
06441,La Plata,29260,77998,67326,Buenos Aires
06448,Laprida,532,1366,1152,Buenos Aires
06455,Las Flores,1101,2771,2543,Buenos Aires
06462,Leandro N. Alem,739,1838,1700,Buenos Aires
06466,Lezama,255,639,570,Buenos Aires
06469,Lincoln,1843,4674,4080,Buenos Aires
06476,Lobería,699,1865,1638,Buenos Aires
06483,Lobos,1853,4668,4035,Buenos Aires
06490,Lomas de Zamora,28806,76967,65257,Buenos Aires
06497,Luján,4701,12341,10388,Buenos Aires
06505,Magdalena,1042,2768,2260,Buenos Aires
06511,Maipú,503,1234,995,Buenos Aires
06515,Malvinas Argentinas,14565,40319,34959,Buenos Aires
06518,Mar Chiquita,1423,3622,3044,Buenos Aires
06525,Marcos Paz,3460,8477,7148,Buenos Aires
06532,Mercedes,3084,7882,6753,Buenos Aires
06539,Merlo,27105,71541,59718,Buenos Aires
06547,Monte,1098,3031,2380,Buenos Aires
06553,Monte Hermoso,317,942,782,Buenos Aires
06560,Moreno,28521,76357,60359,Buenos Aires
06568,Morón,10346,28780,26584,Buenos Aires
06574,Navarro,828,2341,2082,Buenos Aires
06581,Necochea,3905,10545,9347,Buenos Aires
06588,9 de Julio,2262,5830,4999,Buenos Aires
06595,Olavarría,4840,13055,11526,Buenos Aires
06602,Patagones,1630,4262,3335,Buenos Aires
06609,Pehuajó,1886,4827,4284,Buenos Aires
06616,Pellegrini,373,831,610,Buenos Aires
06623,Pergamino,4820,12264,10389,Buenos Aires
06630,Pila,248,592,441,Buenos Aires
06638,Pilar,18864,49944,41528,Buenos Aires
06644,Pinamar,1719,4519,3979,Buenos Aires
06648,Presidente Perón,5563,14476,11730,Buenos Aires
06651,Puan,541,1459,1232,Buenos Aires
06655,Punta Indio,535,1384,1047,Buenos Aires
06658,Quilmes,26975,70881,60085,Buenos Aires
06665,Ramallo,1929,4707,4088,Buenos Aires
06672,Rauch,669,1761,1519,Buenos Aires
06679,Rivadavia,942,2317,1873,Buenos Aires
06686,Rojas,1027,2724,2362,Buenos Aires
06693,Roque Pérez,615,1572,1316,Buenos Aires
06700,Saavedra,785,2109,1799,Buenos Aires
06707,Saladillo,1476,3785,3339,Buenos Aires
06714,Salto,1728,4405,3794,Buenos Aires
06721,Salliqueló,366,963,846,Buenos Aires
06728,San Andrés de Giles,1236,3031,2583,Buenos Aires
06735,San Antonio de Areco,1168,2873,2569,Buenos Aires
06742,San Cayetano,314,865,747,Buenos Aires
06749,San Fernando,6594,17900,15461,Buenos Aires
06756,San Isidro,9488,26323,25052,Buenos Aires
06760,San Miguel,13979,37035,30653,Buenos Aires
06763,San Nicolás,6938,17845,15225,Buenos Aires
06770,San Pedro,3165,8283,7113,Buenos Aires
06778,San Vicente,5505,14032,10952,Buenos Aires
06784,Suipacha,535,1328,1257,Buenos Aires
06791,Tandil,5517,14723,12884,Buenos Aires
06798,Tapalqué,486,1125,1059,Buenos Aires
06805,Tigre,18454,51961,45401,Buenos Aires
06812,Tordillo,136,298,231,Buenos Aires
06819,Tornquist,570,1549,1238,Buenos Aires
06826,Trenque Lauquen,2171,5326,4442,Buenos Aires
06833,Tres Arroyos,2432,6392,5392,Buenos Aires
06840,Tres de Febrero,12280,33616,30170,Buenos Aires
06847,Tres Lomas,380,989,831,Buenos Aires
06854,25 de Mayo,1498,3733,3238,Buenos Aires
06861,Vicente López,8348,22610,21312,Buenos Aires
06868,Villa Gesell,1476,4267,3801,Buenos Aires
06875,Villarino,1415,3677,3288,Buenos Aires
06882,Zárate,5546,15431,13300,Buenos Aires
10007,Ambato,218,439,401,Catamarca
10014,Ancasti,137,334,322,Catamarca
10021,Andalgalá,870,2037,2051,Catamarca
10028,Antofagasta de la Sierra,74,241,174,Catamarca
10035,Belén,1434,3513,3350,Catamarca
10042,Capayán,898,2244,2043,Catamarca
10049,Capital,8055,20132,17544,Catamarca
10056,El Alto,204,517,485,Catamarca
10063,Fray Mamerto Esquiú,654,1651,1397,Catamarca
10070,La Paz,1261,3146,2844,Catamarca
10077,Paclín,172,512,450,Catamarca
10084,Pomán,554,1480,1321,Catamarca
10091,Santa María,1238,2998,2619,Catamarca
10098,Santa Rosa,625,1476,1361,Catamarca
10105,Tinogasta,1134,2784,2684,Catamarca
10112,Valle Viejo,1520,3862,3346,Catamarca
14007,Calamuchita,3329,8474,7104,Córdoba
14014,Capital,58120,149261,132716,Córdoba
14021,Colón,13616,34951,29481,Córdoba
14028,Cruz del Eje,3124,7539,6409,Córdoba
14035,General Roca,1592,3828,3338,Córdoba
14042,General San Martín,6949,16719,13699,Córdoba
14049,Ischilín,1743,4159,3859,Córdoba
14056,Juárez Celman,3118,7504,6295,Córdoba
14063,Marcos Juárez,4276,10712,9015,Córdoba
14070,Minas,215,499,454,Córdoba
14077,Pocho,208,472,471,Córdoba
14084,Presidente Roque Sáenz Peña,1616,4130,3526,Córdoba
14091,Punilla,8649,22996,19945,Córdoba
14098,Río Cuarto,11863,28900,24194,Córdoba
14105,Río Primero,2879,6664,5637,Córdoba
14112,Río Seco,712,1890,1619,Córdoba
14119,Río Segundo,4752,12120,10358,Córdoba
14126,San Alberto,1903,4666,3958,Córdoba
14133,San Javier,2613,7043,5838,Córdoba
14140,San Justo,9838,24255,21387,Córdoba
14147,Santa María,6745,16655,13320,Córdoba
14154,Sobremonte,192,468,474,Córdoba
14161,Tercero Arriba,5123,12660,10615,Córdoba
14168,Totoral,1032,2627,2260,Córdoba
14175,Tulumba,621,1454,1262,Córdoba
14182,Unión,4780,12013,10336,Córdoba
18007,Bella Vista,2328,5598,4349,Corrientes
18014,Berón de Astrada,137,301,288,Corrientes
18021,Capital,19680,47808,40759,Corrientes
18028,Concepción,1534,3721,3145,Corrientes
18035,Curuzú Cuatiá,2522,6209,5270,Corrientes
18042,Empedrado,877,2041,1795,Corrientes
18049,Esquina,2117,4809,4256,Corrientes
18056,General Alvear,477,1086,936,Corrientes
18063,General Paz,798,1916,1636,Corrientes
18070,Goya,4959,12729,11020,Corrientes
18077,Itatí,637,1491,1164,Corrientes
18084,Ituzaingó,2033,4878,4073,Corrientes
18091,Lavalle,2407,5545,4384,Corrientes
18098,Mburucuyá,510,1317,1230,Corrientes
18105,Mercedes,2649,6120,4682,Corrientes
18112,Monte Caseros,2277,5486,4434,Corrientes
18119,Paso de los Libres,2964,7451,6405,Corrientes
18126,Saladas,1455,3566,3134,Corrientes
18133,San Cosme,902,2191,1708,Corrientes
18140,San Luis del Palmar,1037,2392,2129,Corrientes
18147,San Martín,819,1980,1694,Corrientes
18154,San Miguel,718,1758,1480,Corrientes
18161,San Roque,1145,2726,2356,Corrientes
18168,Santo Tomé,3709,9454,7725,Corrientes
18175,Sauce,529,1251,1114,Corrientes
